"","ID","Position","EAP","SE"
"1",1,1,-0.544,0.726
"2",1,2,-0.845,0.648
"3",1,3,-1.109,0.606
"4",1,4,-1.254,0.575
"5",1,5,-1.359,0.557
"6",1,6,-1.434,0.547
"7",1,7,-1.473,0.538
"8",1,8,-1.573,0.544
"9",2,1,-0.544,0.726
"10",2,2,-0.002,0.391
"11",2,3,0.088,0.303
"12",2,4,0.125,0.26
"13",2,5,0.07,0.244
"14",2,6,0.011,0.234
"15",2,7,0.116,0.214
"16",2,8,0.188,0.198
"17",3,1,0.6,0.417
"18",3,2,0.319,0.353
"19",3,3,0.325,0.283
"20",3,4,0.236,0.265
"21",3,5,0.241,0.234
"22",3,6,0.241,0.213
"23",3,7,0.304,0.193
"24",3,8,0.269,0.187
"25",4,1,0.6,0.417
"26",4,2,0.713,0.299
"27",4,3,0.764,0.251
"28",4,4,0.643,0.233
"29",4,5,0.644,0.21
"30",4,6,0.595,0.194
"31",4,7,0.652,0.184
"32",4,8,0.595,0.177
"33",5,1,-0.544,0.726
"34",5,2,-0.002,0.391
"35",5,3,0.088,0.303
"36",5,4,0.125,0.26
"37",5,5,0.07,0.244
"38",5,6,0.011,0.234
"39",5,7,0.008,0.217
"40",5,8,-0.002,0.203
"41",6,1,1.17,0.43
"42",6,2,1.031,0.312
"43",6,3,1.213,0.264
"44",6,4,1.223,0.227
"45",6,5,1.271,0.206
"46",6,6,1.289,0.191
"47",6,7,1.281,0.18
"48",6,8,1.302,0.17
"49",7,1,-0.544,0.726
"50",7,2,-0.002,0.391
"51",7,3,0.088,0.303
"52",7,4,0.125,0.26
"53",7,5,0.07,0.244
"54",7,6,0.011,0.234
"55",7,7,0.116,0.214
"56",7,8,0.188,0.198
"57",8,1,-0.544,0.726
"58",8,2,-0.845,0.648
"59",8,3,-1.109,0.606
"60",8,4,-1.254,0.575
"61",8,5,-1.359,0.557
"62",8,6,-1.434,0.547
"63",8,7,-1.473,0.538
"64",8,8,-1.573,0.544
"65",9,1,1.17,0.43
"66",9,2,1.031,0.312
"67",9,3,1.213,0.264
"68",9,4,1.223,0.227
"69",9,5,1.271,0.206
"70",9,6,1.289,0.191
"71",9,7,1.281,0.18
"72",9,8,1.302,0.17
"73",10,1,-0.544,0.726
"74",10,2,-0.845,0.648
"75",10,3,-1.109,0.606
"76",10,4,-1.254,0.575
"77",10,5,-1.359,0.557
"78",10,6,-1.434,0.547
"79",10,7,-1.473,0.538
"80",10,8,-1.573,0.544
"81",11,1,-0.544,0.726
"82",11,2,-0.845,0.648
"83",11,3,-1.109,0.606
"84",11,4,-1.254,0.575
"85",11,5,-1.359,0.557
"86",11,6,-1.434,0.547
"87",11,7,-1.473,0.538
"88",11,8,-1.573,0.544
"89",12,1,-0.544,0.726
"90",12,2,-0.002,0.391
"91",12,3,0.088,0.303
"92",12,4,0.125,0.26
"93",12,5,0.07,0.244
"94",12,6,0.011,0.234
"95",12,7,0.116,0.214
"96",12,8,0.092,0.202
"97",13,1,1.762,0.461
"98",13,2,2.102,0.314
"99",13,3,2.195,0.253
"100",13,4,2.342,0.225
"101",13,5,2.322,0.204
"102",13,6,2.409,0.192
"103",13,7,2.496,0.183
"104",13,8,2.553,0.175
"105",14,1,-0.544,0.726
"106",14,2,-0.845,0.648
"107",14,3,-0.447,0.403
"108",14,4,-0.587,0.38
"109",14,5,-0.426,0.299
"110",14,6,-0.506,0.286
"111",14,7,-0.578,0.28
"112",14,8,-0.488,0.246
"113",15,1,-0.544,0.726
"114",15,2,-0.002,0.391
"115",15,3,0.088,0.303
"116",15,4,0.125,0.26
"117",15,5,0.07,0.244
"118",15,6,0.011,0.234
"119",15,7,0.116,0.214
"120",15,8,0.092,0.202
"121",16,1,-0.544,0.726
"122",16,2,-0.845,0.648
"123",16,3,-0.447,0.403
"124",16,4,-0.587,0.38
"125",16,5,-0.426,0.299
"126",16,6,-0.506,0.286
"127",16,7,-0.578,0.28
"128",16,8,-0.488,0.246
"129",17,1,-0.544,0.726
"130",17,2,-0.845,0.648
"131",17,3,-0.447,0.403
"132",17,4,-0.587,0.38
"133",17,5,-0.426,0.299
"134",17,6,-0.506,0.286
"135",17,7,-0.578,0.28
"136",17,8,-0.488,0.246
"137",18,1,1.762,0.461
