recno,scores
1,-1.460037272
2,-0.866865876
3,-1.383087804
4,-0.721527349
5,-0.85307868
6,-1.279190754
7,-0.929921434
8,-0.968783125
9,-1.216609382
10,-1.134644132
11,-1.116882532
12,-1.655157069
13,-1.391388376
14,-0.926991113
15,-1.115258858
16,-0.823730028
17,-0.907356292
18,-0.330085997
19,-0.717149277
20,-0.991256986
21,-1.088932525
22,-1.594498759
23,-1.221768234
24,-1.353492876
25,-1.2425616
26,-0.791165668
27,-0.605913549
28,-0.704663813
29,-1.036044255
30,-0.849589852
31,-1.108166852
32,-0.971186634
33,-1.21521736
34,-0.820944021
35,-1.254150651
36,-0.726715791
37,-0.999089086
38,-1.087188704
39,-1.214791148
40,-0.967266476
41,-0.928351668
42,-1.174938598
43,-0.752837044
44,-1.209994536
45,-1.189657847
46,-1.38224904
47,-1.226816435
48,-1.178936855
49,-1.34984415
50,-1.032474701
51,-0.837714331
52,-0.520794744
53,-1.110629984
54,-0.476043871
55,-0.615610204
56,-1.440243861
57,-0.938601249
58,-0.881585573
59,-0.548021402
60,-1.446091201
61,-1.238301345
62,-1.438932908
63,-1.226860321
64,-1.551832465
65,-0.879110831
66,-1.179816552
67,-1.805024742
68,-0.937523553
69,-0.805895108
70,-1.437582606
71,-0.856486826
72,-1.571711731
73,-0.939181051
74,-0.951234695
75,-1.211009437
76,-0.89120758
77,-1.207365815
78,-0.943716262
79,-0.961511675
80,-1.323587281
81,-0.912254955
82,-1.355470469
83,-1.097604767
84,-0.85790058
85,-0.931468028
86,-0.961611337
87,-0.83957327
88,-0.583539831
89,-0.703035655
90,-1.320318761
91,-0.991787325
92,-1.541687149
93,-0.717601698
94,-1.045328815
95,-1.302243659
96,-0.588009838
97,-1.168202826
98,-0.994583658
99,-0.921646531
100,-0.899018904
101,-1.08231283
102,-0.649411831
103,-1.075449831
104,-0.938138423
105,-1.021550003
106,-1.115884767
107,-0.37838243
108,-0.462546321
109,-1.074663029
110,-0.646977764
111,-1.058879824
112,-0.730110568
113,-1.359327316
114,-1.011978675
115,-1.243261751
116,-0.912902421
117,-0.595433548
118,-0.827395423
119,-0.814782452
120,-0.883973352
121,-0.994551284
122,-1.358441487
123,-1.035574709
124,-1.010257482
125,-1.032186411
126,-1.474062407
127,-0.626618986
128,-0.557309465
129,-1.385372383
130,-0.265403099
131,-0.755885659
132,-1.211001518
133,-0.233521594
134,-0.993280513
135,-1.395568039
136,-1.09288554
137,-0.649495921
138,-0.77890091
139,-0.738502571
140,-0.936189708
141,-0.615402914
142,-0.924173151
143,-1.238294677
144,-0.852448517
145,-1.168783627
146,-0.489687723
147,-0.530573133
148,-1.520832851
149,-1.248408383
150,-1.697481014
151,-0.90358193
152,-0.998912784
153,-1.085606816
154,-1.721944973
155,-0.801034514
156,-1.377183607
157,-0.27258352
158,-1.086233034
159,-0.704709379
160,-1.214808177
161,-0.980867157
162,-0.615006968
163,-0.878352656
164,-0.760619903
165,-1.245444543
166,-0.456112368
167,-1.306052698
168,-0.793175384
169,-0.569529558
170,-1.270150761
171,-1.272395811
172,-0.868489149
173,-0.584738031
174,-0.862011468
175,-1.185506729
176,-0.542811867
177,-0.544329593
178,-1.097232899
179,-1.179077954
180,-1.129545442
181,-0.890635004
182,-1.332020132
183,-0.986160481
184,-1.060064804
185,-1.442178057
186,-1.144673582
187,-1.06062789
188,-1.104440245
189,-1.339127416
190,-0.016235393
191,-0.95548086
192,-0.799044145
193,-1.153428626
194,-0.863828467
195,-1.237483343
196,-0.861725757
197,-1.069344062
198,-1.228585142
199,-0.724702001
200,-1.044528302
201,-1.290195427
202,-0.629559971
203,-0.976305843
204,-1.075159146
205,-0.593949837
206,-0.75483806
207,-1.128146782
208,-1.240158927
209,-1.555537404
210,-1.190622455
211,-0.643846121
212,-1.122659008
213,-0.518203452
214,-1.1574573
215,-0.870783562
216,-0.650360418
217,-1.30618191
218,-1.171918672
219,-0.609722349
220,-1.097079722
221,-0.960957442
222,-1.16930892
223,-1.401667129
224,-0.633153556
225,-0.836639863
226,-0.851392389
227,-1.678043109
228,-0.919671926
229,-0.795447952
230,-1.292991304
231,-0.607167632
232,-1.120580798
233,-1.306336535
234,-0.276642061
235,-1.129145836
236,-1.047698754
237,-1.068820133
238,-0.926062364
239,-0.537055962
240,-0.963962918
241,-1.358364404
242,-1.6077908
243,-0.792647702
244,-0.964688251
245,-0.909767357
246,-0.697852556
247,-0.689697818
248,-1.327858065
249,-0.734175258
250,-0.881240177
251,-0.975761649
252,-0.922838577
253,-1.600149401
254,-0.780178284
255,-1.058051391
256,-1.024517366
257,-0.327364542
258,-1.145270769
259,-0.912547727
260,-1.195701218
261,-1.246691666
262,-0.880565326
263,-1.169578999
264,-1.036224311
265,-1.034733385
266,-1.158767817
267,-1.362132766
268,-0.918762408
269,-0.93439085
270,-1.273489598
271,-0.974488829
272,-0.927520898
273,-0.948077241
274,-1.267906801
275,-0.897051337
276,-0.883821278
277,-1.729562501
278,-0.65003407
279,-1.567877151
280,-0.970347357
281,-0.927749394
282,-1.176090148
283,-0.753471696
284,-1.062054481
285,-0.602340835
286,-1.445377229
287,-1.182158102
288,-0.86975118
289,-0.874380579
290,-0.984897708
291,-1.191780876
292,-1.319939489
293,-1.263151212
294,-0.740358372
295,-1.238483039
296,-0.875908631
297,-1.050378288
298,-0.372873625
299,-1.361680638
300,-1.011009783
301,-1.269490777
302,-0.808170365
303,-1.367368571
304,-0.892769802
305,-1.067558931
306,-0.64870727
307,-0.85769183
308,-0.840993182
309,-1.08401317
310,-0.638176911
311,-1.108383151
312,-0.637748809
313,-0.637805457
314,-0.417961655
315,-0.696837308
316,-0.925214837
317,-1.115998766
318,-1.092760109
319,-0.908475568
320,-0.661335065
321,-0.910720579
322,-0.550393089
323,-0.905947153
324,-1.273119884
325,-0.771848072
326,-0.936224971
327,-0.977960455
328,-1.08239162
329,-1.08348233
330,-0.596127567
331,-1.187797345
332,-1.298877876
333,-0.906589527
334,-1.446788007
335,-1.350891065
336,-0.674912405
337,-0.936051273
338,-0.739394966
339,-0.948856787
340,-1.081775437
341,-0.680617632
342,-1.528021178
343,-0.919952673
344,-0.840916617
345,-1.491728953
346,-1.071127329
347,-1.183187025
348,-1.250017236
349,-0.945159064
350,-1.552779078
351,-1.663124241
352,-0.763065995
353,-1.164751002
354,-0.749303016
355,-1.361211495
356,-1.047673664
357,-1.181397284
358,-0.942892098
359,-1.17183745
360,-1.191254628
361,-1.356641549
362,-0.882774186
363,-1.44794163
364,-0.884186109
365,-0.4462871
366,-0.678031163
367,-1.620601606
368,-0.74841679
369,-1.128960427
370,-0.740428871
371,-0.790042473
372,-0.790651911
373,-1.047483058
374,-1.127429801
375,-1.156270646
376,-1.193691273
377,-0.683885699
378,-1.068127037
379,-1.672517931
380,-0.56038145
381,-0.728621976
382,-0.815010217
383,-0.969816782
384,-0.388785579
385,-0.811322714
386,-1.402981678
387,-1.38988044
388,-1.041071818
389,-0.510355706
390,-0.90375392
391,-1.16093485
392,-0.937046373
393,-0.947157581
394,-1.491399642
395,-0.79934424
396,-0.689957456
397,-1.105181722
398,-1.061338916
399,-1.275868848
400,-1.188778702
401,-0.830728503
402,-1.389197548
403,-0.840501715
404,-1.049298851
405,-1.056879455
406,-0.803570445
407,-1.183268588
408,-1.08516655
409,-0.746781482
410,-1.279096519
411,-0.861101742
412,-0.746453163
413,-1.323076428
414,-1.108184127
415,-0.913380317
416,-1.21649631
417,-0.408358999
418,-0.601360298
419,-0.92687975
420,-0.511087057
421,-0.615127421
422,-1.288271239
423,-0.975712916
424,-1.30582252
425,-1.629474999
426,-0.890648811
427,-0.573140283
428,-0.507506427
429,-1.302101359
430,-0.90987525
431,-1.424826062
432,-0.968950033
433,-0.537777494
434,-1.649777585
435,-0.856883966
436,-1.46135248
437,-0.944418085
438,-0.761104718
439,-1.517063974
440,-1.105427615
441,-0.429552626
442,-1.036077111
443,-1.076424052
444,-1.143464126
445,-1.271494722
446,-1.082877909
447,-0.971035424
448,-0.712218718
449,-1.569498371
450,-1.153145795
451,-1.066507692
452,-0.874436034
453,-1.046608982
454,-1.03385072
455,-1.320061512
456,-1.046493781
457,-0.761193153
458,-1.14062098
459,-0.830435641
460,-0.558979038
461,-0.83985724
462,-0.77632709
463,-1.085870786
464,-1.460617699
465,-0.50710176
466,-0.642699865
467,-0.867049524
468,-0.441332721
469,-1.189931943
470,-0.530306079
471,-0.877300643
472,-0.880264275
473,-1.016218649
474,-0.565351278
475,-0.805843366
476,-0.874952099
477,-0.624562225
478,-1.136695919
479,-1.166433778
480,-1.271502092
481,-1.124720803
482,-1.365910486
483,-0.502759879
484,-1.059714976
485,-1.290736661
486,-0.886809693
487,-0.310194355
488,-0.718847826
489,-1.415552434
490,-1.144063692
491,-1.236410007
492,-0.809374819
493,-0.708898352
494,-0.793172359
495,-1.085582985
496,-0.93106093
497,-1.001939978
498,-0.509893877
499,-0.915501614
500,-1.351647192
501,-0.85252607
502,-0.844744399
503,-0.736861923
504,-0.822146375
505,-1.585265116
506,-0.736119393
507,-0.801047105
508,-1.146423809
509,-1.273169788
510,-0.922823156
511,-1.533053869
512,-0.651361366
513,-0.842500847
514,-0.277705765
515,-1.232114182
516,-0.760499528
517,-1.268262444
518,-0.612608933
519,-0.765705477
520,-1.044382104
521,-0.644688915
522,-0.452862229
523,-0.830179221
524,-0.834834919
525,-1.259117705
526,-0.319792334
527,-0.911638526
528,-1.324847504
529,-0.789587152
530,-0.754991047
531,-0.424946813
532,-0.985832615
533,-1.052187961
534,-1.03958229
535,-1.012732305
536,-0.82556331
537,-1.026465461
538,-0.377852166
539,-0.588050524
540,-1.012034494
541,-0.709829994
542,-1.516073905
543,-1.122826779
544,-1.143220964
545,-1.200649703
546,-0.955813323
547,-0.326275734
548,-0.885976976
549,-0.986543559
550,-1.549200137
551,-0.945658928
552,-0.531663456
553,-0.79240988
554,-0.815836158
555,-1.169425243
556,-0.987311352
557,-1.274890916
558,-1.01613927
559,-1.236981354
560,-0.914391024
561,-0.881254699
562,-1.442440753
563,-1.023687629
564,-1.167601016
565,-1.056470519
566,-1.193730324
567,-0.921213536
568,-1.286409743
569,-1.268242619
570,-0.994788789
571,-1.290662829
572,-0.772023903
573,-0.953673227
574,-0.847689912
575,-0.654029649
576,-1.119563864
577,-0.906132132
578,-0.861604849
579,-0.88865268
580,-0.975729325
581,-1.202903766
582,-0.807915192
583,-0.417604197
584,-1.126535421
585,-0.521482904
586,-1.432630381
587,-0.88622813
588,-0.842208652
589,-0.639756056
590,-0.851199438
591,-1.247437586
592,-0.609114915
593,-0.814032176
594,-1.03760946
595,-1.482515811
596,-1.372717643
597,-1.096756758
598,-0.94369511
599,-0.855741654
600,-1.021490982
601,-1.048822284
602,-1.004356548
603,-0.82512998
604,-0.70000891
605,-0.298985746
606,-0.939494226
607,-0.803101595
608,-0.819808589
609,-0.234852496
610,-0.84297312
611,-1.038281694
612,-1.132542657
613,-1.104175214
614,-0.712453118
615,-1.058042322
616,-0.307226538
617,-1.840770632
618,-1.482650993
619,-0.923016628
620,-0.720304786
621,-0.937164733
622,-1.266102478
623,-1.11090994
624,-0.536205935
625,-1.273477751
626,-1.13150992
627,-0.946265953
628,-0.892327984
629,-0.56341224
630,-1.375168714
631,-0.422972495
632,-0.512429757
633,-1.005428489
634,-0.947213142
635,-1.277901206
636,-0.93815868
637,-1.310995927
638,-0.817374241
639,-0.484589753
640,-0.95367738
641,-1.455690213
642,-1.823862931
643,-1.033781218
644,-1.140726167
645,-1.461617532
646,-1.005273352
647,-0.949004302
648,-1.205308056
649,-0.975842976
650,-1.108062519
651,-0.693938475
652,-1.402443362
653,-0.588027908
654,-0.335558719
655,-0.813881356
656,-1.106964961
657,-0.846321884
658,-1.057754589
659,-0.63429825
660,-0.850233134
661,-0.895664701
662,-1.342862078
663,-0.659493699
664,-1.071599965
665,-0.511256343
666,-1.223698361
667,-1.162357622
668,-1.561110762
669,-0.825734602
670,-0.719997807
671,-1.045342596
672,-0.759895596
673,-0.624833825
674,-1.04425211
675,-0.839578902
676,-1.456416852
677,-0.839039038
678,-1.359043019
679,-0.875186177
680,-0.93906658
681,-1.013475762
682,-0.881244774
683,-0.31515234
684,-0.909347346
685,-0.553014486
686,-0.581151658
687,-0.502236812
688,-0.795471357
689,-1.625083447
690,-0.791957084
691,-1.370687908
692,-0.662583964
693,-0.97121529
694,-0.647837788
695,-1.349151589
696,-1.577628069
697,-1.239550099
698,-0.970361169
699,-0.610329168
700,-1.00503988
701,1.765231203
702,1.798882535
703,1.75483666
704,0.589544752
705,1.073513824
706,0.146067736
707,1.461311422
708,1.087010493
709,1.515097752
710,0.254758623
711,0.447559162
712,0.735502304
713,1.250145582
714,2.40957713
715,2.020144686
716,0.231508541
717,-0.223342364
718,1.480675072
719,-0.079813767
720,1.161772424
721,0.87550756
722,1.130531315
723,1.725924139
724,2.385798192
725,0.455265503
726,1.807353781
727,2.254803352
728,1.675667477
729,1.987986283
730,1.885433096
731,1.734641789
732,1.28571345
733,1.188563673
734,0.523724734
735,1.279692679
736,1.526042703
737,1.528005414
738,-0.31795233
739,0.263566957
740,1.023767113
741,2.519278093
742,1.295028018
743,0.326161835
744,-0.275561418
745,2.139125376
746,0.864019159
747,1.780607018
748,1.423074923
749,0.117723544
750,0.674547624
751,1.995756915
752,0.878416591
753,1.707924392
754,1.458721935
755,2.207384483
756,0.294955018
757,1.189533198
758,1.077337559
759,2.059999949
760,1.507727515
761,0.537396356
762,0.985735466
763,1.3706137
764,-0.304324999
765,0.65372189
766,-0.042995619
767,1.355746399
768,1.689681093
769,-0.170952199
770,0.490270404
771,0.940220672
772,0.641143477
773,0.251045834
774,0.506196689
775,1.19056153
776,1.516230377
777,0.495708432
778,0.255683139
779,0.909402763
780,1.168083558
781,0.845666326
782,2.323003069
783,1.151197469
784,1.007514245
785,1.740504467
786,-0.223034675
787,2.519046938
788,0.472731158
789,1.997118951
790,0.30816732
791,1.435355261
792,1.202171819
793,1.001811382
794,0.400381239
795,0.566875283
796,-0.146783366
797,1.116919998
798,1.781657439
799,1.832836574
800,0.371690158
801,1.212678982
802,1.095143799
803,1.938351405
804,1.536522587
805,1.026538122
806,0.18221173
807,-0.09993053
808,0.852021526
